0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:52 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:52 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:49:59 +0530] "GET /JSHOW/laptops/dell/dell2.jpg HTTP/1.1" 200 5638
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:50:00 +0530] "GET /JSHOW/laptops/hp/hp3.jpg HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:50:28 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:50:28 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:50:41 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:50:55 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:50:55 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:51:52 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:51:52 +0530] "GET /JSHOW/laptops/apple/apple2.jpg HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:51:54 +0530] "GET /JSHOW/laptops/dell/dell3.jpg HTTP/1.1" 200 5535
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:52:03 +0530] "GET /JSHOW/laptops/apple/apple3.jpg HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:56:14 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:56:14 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
